Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0015516738799712,4.95387812441545E-07,0.057106638003801,0,0,0,7.25380697537914,0.0154826419012204,-1.88093859938462E-18,1.75480480270486E-18,0.0418120079179571,-2.20087976726061E-19,0.0410569043731693,0,0,0,0,0,0,package://quadrobot_byang/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://quadrobot_byang/meshes/base_link.STL,,身体盖-1;身体侧盖-1;身体盖-2;身体侧盖-2;双电机挂板-1;双电机挂板-2;电池-1;一字连接件-1;铝型材150-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF_roll_link,-0.0183487527909973,-3.69607898733984E-05,0.000110472133127904,0,0,0,1.35699888834698,0.000950272214656365,-7.73818401705718E-07,2.21028224326925E-06,0.000632569963838474,2.72632388725091E-06,0.000608567220412097,0,0,0,0,0,0,package://quadrobot_byang/meshes/LF_roll_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://quadrobot_byang/meshes/LF_roll_link.STL,,灵足时代电机-17;轴承配件_短-8;电机扭转连接件2-10;电机扭转连接件1-14;电机扭转连接件1-13,LF_roll_link,A_LF_roll_link,LF_roll_joint,revolute,0.1635,0.062501,0.076409,0,0,0,base_link,-1,0,0,15,25,-3.14,3.14,,,,,,,,
LF_pitch_link,-0.00676434535295402,0.0253303462786025,-0.00400806530848779,0,0,0,3.0386174828575,0.00205392009122482,5.05471883786914E-05,-0.00083019031346694,0.00380631227353969,8.17669004367804E-05,0.00232382333544405,0,0,0,0,0,0,package://quadrobot_byang/meshes/LF_pitch_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://quadrobot_byang/meshes/LF_pitch_link.STL,,灵足时代电机-19;轴承配件1-6;电机连接件2-4;电机连接件1—替换-3;灵足时代电机-20;大腿外板-6;电机盖板连接柱-44;电机盖板连接柱-43;大腿外板_左-6;连杆-11;电机盖板连接柱-42;零件7-4;电机盖板连接柱-41;电机盖板连接柱-46;电机盖板连接柱-40;电机盖板连接柱-39,LF_pitch_link,A_LF_pitch_link,LF_pitch_joint,revolute,0.060689,0.013964,0.0010276,0,0,0,LF_roll_link,0,0.99841,0.056281,15,25,-3.14,3.14,,,,,,,,
LF_calf_link,0.0825920816668721,-0.00451512945449845,-0.0620465145915691,0,0,0,0.171491028783328,0.000317277776387841,-2.42187153373074E-05,0.000429637295428776,0.000928418164203377,1.77708515108364E-05,0.00061416699574319,0,0,0,0,0,0,package://quadrobot_byang/meshes/LF_calf_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://quadrobot_byang/meshes/LF_calf_link.STL,,小腿-7;小腿装饰上-6;小腿装饰下-3;小腿-8,LF_calf_link,A_LF_calf_link,LF_calf_joint,revolute,-0.18097,0.10313,-0.15939,0,0,0,LF_pitch_link,0,-0.99841,-0.056281,15,25,-3.14,3.14,,,,,,,,
LF_feet_link,-0.000145039211538397,-5.51028697592937E-06,9.78034142299355E-05,0,0,0,0.0792771775752281,2.44137474323461E-05,2.84413066219421E-08,-5.04748055418483E-07,2.40817447190964E-05,4.23847429836745E-09,2.40068987180101E-05,0,0,0,0,0,0,package://quadrobot_byang/meshes/LF_feet_link.STL,1,1,1,1,0,0,0,0,0,0,package://quadrobot_byang/meshes/LF_feet_link.STL,,足-4,LF_feet_link,A_LF_feet_link,LF_feet_joint,fixed,0.20668,0.00038989,-0.14728,0,0,0,LF_calf_link,0,0,0,,,,,,,,,,,,
RF_roll_link,-0.0183487527909973,-3.69855884621434E-05,0.000110471324879042,0,0,0,1.35699888834698,0.000950272214656364,-7.80001819243562E-07,2.21007539634013E-06,0.000632630572267267,1.82047710901378E-06,0.000608506611983304,0,0,0,0,0,0,package://quadrobot_byang/meshes/RF_roll_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://quadrobot_byang/meshes/RF_roll_link.STL,,灵足时代电机-16;轴承配件_短-7;电机扭转连接件2-12;电机扭转连接件1-11;电机扭转连接件1-12,RF_roll_link,A_RF_roll_link,RF_roll_joint,revolute,0.1635,-0.062499,0.076409,0,0,0,base_link,-1,0,0,15,25,-3.14,3.14,,,,,,,,
RF_pitch_link,-0.00570148495870638,-0.0249947939893914,-0.00678258648072765,0,0,0,3.03861748351104,0.00226929719336245,5.70947230506852E-06,-0.000833815415379429,0.00381056560433845,2.03918923765296E-05,0.00210419290309447,0,0,0,0,0,0,package://quadrobot_byang/meshes/RF_pitch_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://quadrobot_byang/meshes/RF_pitch_link.STL,,灵足时代电机-18;轴承配件1-7;电机连接件2-5;电机连接件1—替换-4;灵足时代电机-21;电机盖板连接柱-47;电机盖板连接柱-51;电机盖板连接柱-50;电机盖板连接柱-52;零件7-5;连杆-12;电机盖板连接柱-48;电机盖板连接柱-49;电机盖板连接柱-45;大腿外板-7;大腿外板_左-7,RF_pitch_link,A_RF_pitch_link,RF_pitch_joint,revolute,0.060689,-0.014002,9.3015E-05,0,0,0,RF_roll_link,0,-0.99994,-0.010498,15,25,-3.14,3.14,,,,,,,,
RF_calf_link,0.0840556345513243,0.00862612737935139,-0.0595973870873017,0,0,0,0.171491028783329,0.000296704137421655,-4.43735486838841E-06,0.000422663347114573,0.00092938732334995,3.10388167598945E-06,0.00063377147556281,0,0,0,0,0,0,package://quadrobot_byang/meshes/RF_calf_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://quadrobot_byang/meshes/RF_calf_link.STL,,小腿-9;小腿装饰上-7;小腿装饰下-4;小腿-10,RF_calf_link,A_RF_calf_link,RF_calf_joint,revolute,-0.15509,-0.092006,-0.19045,0,0,0,RF_pitch_link,0,-0.99994,-0.010498,15,25,-3.14,3.14,,,,,,,,
RF_feet_link,-0.000147359016672538,-9.88453395217581E-07,9.44276820717405E-05,0,0,0,0.0792771775752281,2.44378832225193E-05,5.18651969649215E-09,-4.95120875318702E-07,2.408197289601E-05,1.04970446923496E-09,2.39825347509234E-05,0,0,0,0,0,0,package://quadrobot_byang/meshes/RF_feet_link.STL,1,1,1,1,0,0,0,0,0,0,package://quadrobot_byang/meshes/RF_feet_link.STL,,足-5,RF_feet_link,A_RF_feet_link,RF_feet_joint,fixed,0.21016,0.0093908,-0.14196,0,0,0,RF_calf_link,0,0,0,,,,,,,,,,,,
LR_roll_link,0.0183487527909972,4.6832464948264E-05,-0.000107787447680652,0,0,0,1.35699888834698,0.000950272214656365,-9.96386575494028E-07,2.40040600302354E-06,0.000632243931574424,3.10456834170331E-06,0.000608893252676148,0,0,0,0,0,0,package://quadrobot_byang/meshes/LR_roll_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://quadrobot_byang/meshes/LR_roll_link.STL,,灵足时代电机-3;轴承配件_短-5;电机扭转连接件2-8;电机扭转连接件1-5;电机扭转连接件1-8,LR_roll_link,A_LR_roll_link,LR_roll_joint,revolute,-0.1635,0.0625,0.076409,0,0,0,base_link,-1,0,0,15,25,-3.14,3.14,,,,,,,,
LR_pitch_link,-0.00636969800270282,0.025362957062064,-0.00448751208482067,0,0,0,3.03861748364214,0.00211199079992098,4.50320550167355E-05,-0.000833499034656109,0.00380602090185652,8.60100111040486E-05,0.00226604399904964,0,0,0,0,0,0,package://quadrobot_byang/meshes/LR_pitch_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://quadrobot_byang/meshes/LR_pitch_link.STL,,灵足时代电机-7;轴承配件1-4;电机连接件2-2;电机连接件1—替换-1;灵足时代电机-12;大腿外板-4;电机盖板连接柱-13;电机盖板连接柱-9;电机盖板连接柱-12;电机盖板连接柱-30;电机盖板连接柱-8;零件7-2;连杆-8;电机盖板连接柱-29;大腿外板_左-4;电机盖板连接柱-31,LR_pitch_link,A_LR_pitch_link,LR_pitch_joint,revolute,-0.060689,0.013963,0.0010407,0,0,0,LR_roll_link,0,0.99836,0.057221,15,25,-3.14,3.14,,,,,,,,
